Tijdstempel;What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;Chocolate makes you.....;When is your birthday (date)?;Number of neighbors sitting around you?;Did you stand up?;What is your stress level (0-100)?;You can get 100 euros if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ;Give a random number;Time you went to be Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?
4-5-2022 12:15:59;EOR;yes;0;mu;ja;female;neither;15-07-1999;0;no;70;10;8;22:30;Sports;Activity
4-5-2022 12:15:59;BA;yes;0;mu;nee;male;neither;18-08;4;no;11;6 cents;96274374;8 pm;A dm lecture;A dm QA
4-5-2022 12:15:59;Bioinformatics & Systems Biology;yes;0;mu;nee;male;neither;19.03.1995;0;no;70;equal;78945;2:00;coffee in the morning;beer in the evening
4-5-2022 12:15:59;F&T;yes;0;sigma;nee;male;fat;29/03;4;yes;100;100;7;2;3;2
4-5-2022 12:16:00;Artificial Intelligence;unknown;1;mu;nee;male;I have no idea what you are talking about;24.08.1996;0;yes;11;1/n;42;22:09;I don't know;I really don't know
4-5-2022 12:16:00;Computational Science;yes;0;mu;ja;male;I have no idea what you are talking about;21/06/1997;0;no;1;10;7654321;00:30;Applying data mining techniques;Netflix with girlfriend
4-5-2022 12:16:00;Computer Science;yes;0;mu;ja;male;fat;02-07-1999;1;no;80;20;7;0:00;no class;no homework
4-5-2022 12:16:00;BA;yes;unknown;mu;nee;female;slim;28;0;no;60;100;7;23:00;no stress from school;go to restaurant
4-5-2022 12:16:00;cs;yes;1;mu;ja;female;neither;12.10.1994;2;no;80;99;8;1;my cat purs on me;seeing sun in Netherlands
4-5-2022 12:16:01;Computational Science;no;0;mu;nee;male;I have no idea what you are talking about;27-08-1998;0;no;30;1;80;00:00;Nice weather;Social interaction 
4-5-2022 12:16:01;Exchange program;yes;0;unknown;ja;female;fat;06.17.1997;0;no;59;60;100;2am;Sunshine;Plan
4-5-2022 12:16:01;BA;yes;0;mu;ja;male;neither;1-1-1111;0;no;2;12;4;23:00;Sun;BBQ
4-5-2022 12:16:01;AI;no;0;mu;nee;female;fat;01-04;2;no;60;10;7;23:50;no lecture;no home assignment
4-5-2022 12:16:01;Python;yes;1;sigma;nee;male;fat;12-11-1998;0;no;25;500;198956654894562566469615;00:25;Good food;Winning the lottery
4-5-2022 12:16:02;Computational Science;no;1;mu;ja;female;neither;12-03-2004;8;no;23;40;9;22:00;time for myself;bouldering
4-5-2022 12:16:02;Artificial Intelligence;no;0;mu;ja;female;I have no idea what you are talking about;16 dec;0;no;40;1;5792;23:40;socializing;productivity
4-5-2022 12:16:02;Econometrics;no;0;mu;ja;female;neither;28-08-1999;0;no;20;-;7;"23;00";Sunny weather;-
4-5-2022 12:16:02;MSc in AI;no;0;mu;ja;female;neither;13/01/1997;2;no;40;30;5;12.30;Friends;Happy moments
4-5-2022 12:16:02;CS;yes;0;mu;ja;male;neither;1990;128;no;100;100;8;null;Mood;Weather
4-5-2022 12:16:02;Master business Analytics;yes;unknown;mu;nee;male;fat;09-08;0;no;20;If I win the the competition I feel like I deserve the total amount. Otherwise 1/the group;172;0100;blue sky with a shiny sun;Knowing i have a spare day
4-5-2022 12:16:03;AI ;no;0;unknown;ja;male;neither;08/12/1998;1;yes;37;3;8;2;Sun and park;Sun and chill
4-5-2022 12:16:03;AI;no;0;mu;nee;female;neither;21'12'1995;4;no;1;0;21;23.34;sunshine ;fun stuff on the planning
4-5-2022 12:16:03;Fin: QRM;no;0;mu;ja;gender fluid;I have no idea what you are talking about;Yesterday;2;yes;102;99;9,13747E+12;To be or not to be?;Wakker worden naast Lieke;Geen ontbijt met Jan
4-5-2022 12:16:03;Bio informatics and systems biology;yes;0;sigma;nee;male;fat;17-10-2000;5;no;12;0.5;11223344556677889900;2:34;No obligations;Games
4-5-2022 12:16:03;AI;no;0;mu;nee;female;I have no idea what you are talking about;12/07/1991;1;no;80;1;6;1;SUN;fun
4-5-2022 12:16:05;Artificial Intelligence;no;0;mu;nee;female;neither;12-12-1997;0;unknown;50;2;88;3;Sunny weather;Feeling in tune with yourself and your surroundings
4-5-2022 12:16:05;CS;no;0;mu;nee;male;slim;13-08-1999;1;no;50;1;13;1:30;warm weather;not having to get up early
4-5-2022 12:16:05;AI;no;0;mu;nee;male;fat;1997;0;no;15;5;5;1:00;no work;good food
4-5-2022 12:16:06;Computational Science ;no;0;mu;nee;female;neither;7-11-1997;4;no;29;50;29;15.00;Coffee;My bed
4-5-2022 12:16:06;QRM;no;0;mu;ja;male;I have no idea what you are talking about;01/01/91;8;no;80;20;8;23:00;Sun;Food
4-5-2022 12:16:06;M Artificial Intelligence ;no;0;mu;ja;female;neither;18-06-1999;0;no;72;100/624=0.16;361;23:00;Some love from friends/fam/bf;good food
4-5-2022 12:16:06;Business Analytics;yes;0;mu;nee;male;I have no idea what you are talking about;05/02/98;0;no;70;1;5;2;good weather;eating
4-5-2022 12:16:06;MSc Computational Science ;yes;0;mu;ja;male;neither;09-03-1999;2;no;69;4,2;4729264827364547292736464629;02:00;Andrea;DMT
4-5-2022 12:16:06;Computer Science(joint degree);yes;0;mu;ja;female;fat;1999.08.27;2;no;77;0;77;?;sleep ;food
4-5-2022 12:16:06;Computer Science;yes;1;mu;ja;male;fat;11041995;0;unknown;32;-2;41;11:45;Cycling;Sunlight
4-5-2022 12:16:06;BA;yes;1;mu;ja;female;neither;01-10-1998;0;no;40;20;2;0:37;sun;meeting friends
4-5-2022 12:16:06;Business Analytics;yes;0;mu;nee;female;fat;20may;0;no;45;30;12;10;sport;call my mother
4-5-2022 12:16:08;AI;no;0;mu;ja;male;fat;18-07-2000;1;no;5;30;4;23:45;Not rain ;Food
4-5-2022 12:16:08;Artificial Intelligence;yes;1;mu;ja;male;fat;01-05-1994;0;no;10;125;13;23:30;Sun;Feeling good
4-5-2022 12:16:08;AI Masters;no;unknown;mu;ja;male;I have no idea what you are talking about;15.07.1993;0;no;33;33;sqrt(687458.9665);10;sleeping long;smoke weed
4-5-2022 12:16:09;Bioinformatics;yes;0;unknown;nee;male;fat;13/04/1999;0;no;30;0.20;11;00:30;Good weather;Going to the gym
4-5-2022 12:16:09;Bioinformatics and Systems Biology;yes;0;mu;ja;male;fat;24.12;0;yes;50;10;122;2:00;Sunshine;Good food
4-5-2022 12:16:09;Computational Science;no;0;mu;ja;male;neither;14-07;0;no;10;2;37;23:30;nice weather;free money
4-5-2022 12:16:09;Artificial Intelligence;yes;1;mu;nee;male;I have no idea what you are talking about;05-06-1998;0;no;70;50;7;3;good weather;good food
4-5-2022 12:16:09;Biomolecular Sciences;yes;0;unknown;nee;male;fat;20-01-1995;4;no;30;0,2;5;23:00;Doing nothing important;Talking with friends
4-5-2022 12:16:09;AI;no;0;mu;nee;male;fat;Today;0;no;33;1;2;00:30;Sun;No responsibility
4-5-2022 12:16:10;AI;yes;1;mu;ja;female;neither;01-01-2000;0;no;81;13;4;3am;No lectures;Sunny weather
4-5-2022 12:16:10;Computer Science;yes;0;sigma;ja;male;unknown;04-11;0;unknown;10;0;6,96788E+14;5:00 PM;sunlight;No wind
4-5-2022 12:16:10;Artificial Intelligence;yes;0;mu;ja;female;slim;21.08.1996;0;yes;-100;0.1;∞;2am;Coffee;Sleep
4-5-2022 12:16:11;E&OR;yes;1;mu;ja;male;neither;10th December;0;no;0;5;10;22:22;Sun;Fun
4-5-2022 12:16:11;Computational science;yes;0;sigma;nee;male;fat;01/08/1995;2;yes;19;100;27;12;sun;sport
4-5-2022 12:16:11;Business Analytics;yes;0;mu;nee;male;neither;08.12.1997;5;no;50;0.25€;8;01 AM;Good food;Nice whether 
4-5-2022 12:16:11;MSc Artificial Intelligence;yes;1;mu;ja;male;fat;14-06-1999;1;no;10;0.16;6;00:15;Sunny weather;Exercise
4-5-2022 12:16:11;Master AI;yes;1;sigma;ja;male;neither;18-12-1992;0;no;100;1000000;69;22.00;thuisbezorgd;gaming
4-5-2022 12:16:11;MSc Bioinformatics and Systems Biology ;no;0;mu;unknown;male;slim;14/11/1997;2;no;80;30;333;1 am;Lots of food;Going out in a sunny day
4-5-2022 12:16:11;Computer Science;yes;1;mu;ja;male;fat;23/04/1998;2;no;80;Definately;10;22:00;Win lottery;Win lottery again
4-5-2022 12:16:11;Bioinformatics and Systems Biology;yes;0;mu;nee;female;neither;11.09.1997;1;no;0;5;5;:);sun;exercise
4-5-2022 12:16:12;Computational Science;no;unknown;mu;ja;female;neither;03 Feb 1999;0;no;30;1;34567;??;Weather;Good people
4-5-2022 12:16:14;Quantitative Risk Management;no;0;mu;nee;male;I have no idea what you are talking about;07 June;8;no;69;100 euros divided over 600 students. 0.6 euros;6665437996;23:56;Cake;Cookies
4-5-2022 12:16:15;AI Cognitive Science Track;no;0;mu;nee;male;slim;11th;Im in the web;yes;80;5 euro to buy previously mentioned chocolate;6;about 1am;Workout; progress in the course
4-5-2022 12:16:17;AI;yes;1;mu;ja;male;neither;is prive;0;no;5;0;dont tell me what to do;?;studying;learning
4-5-2022 12:16:18;AI;yes;0;mu;nee;male;neither;1989.9.2;4;no;80;70;9;9:00;food;sleep
4-5-2022 12:16:19;Economtrics;yes;1;mu;ja;male;neither;16-08-1998;0;no;25;0.25 cents;42;00:15;Being productive;Listening/making music
4-5-2022 12:16:19;BA;yes;1;mu;ja;female;neither;May 15th;1;no;80;50;7;0;having a productive day;being with friends/family
4-5-2022 12:16:19;Computational science;no;0;mu;ja;male;neither;20 December;1;yes;12;110;10;01:30;Beer;Sleep
4-5-2022 12:16:19;Artificial Intelligence;yes;0;mu;nee;male;fat;31/5;2;no;30;1 euro;5;01 AM;Nice dinner;Netflix
4-5-2022 12:16:20;CS Big Data Engineering ;yes;1;mu;ja;not willing to answer;slim;33th;8;unknown;100;99;83947;?;Music;Neat room
4-5-2022 12:16:20;EOR;yes;0;mu;ja;female;neither;03-08-1999;1;no;25;5;8;23:30;Friends;Drinks
4-5-2022 12:16:20;AI;yes;0;mu;ja;female;slim;2nd July;2;yes;30;8;32;3AM;Winkel apple pie;Friends
4-5-2022 12:16:20;Computer Science;no;1;mu;ja;male;neither;27/10;3;no;75;40;6;7;Wake up late;breakfast
4-5-2022 12:16:22;CLS;no;1;mu;nee;female;I have no idea what you are talking about;24.04.1996;6;unknown;70;yo;56;23;smiles;more smiles
4-5-2022 12:16:22;AI;no;0;mu;nee;female;I have no idea what you are talking about;29-05-1998;8;unknown;30;50;8;11;Smile;Laugh
4-5-2022 12:16:23;Artificial Intelligence;no;0;mu;nee;female;fat;17.02.1996;12;no;99;50;9;4;Having coffee;breakfast
4-5-2022 12:16:24;Computational Science;no;0;mu;nee;female;neither;02-22-2222;3;unknown;30;50;7;00:30;Cat;Food
4-5-2022 12:16:26;Human Language Technology;yes;0;mu;nee;female;neither;25.02.98;1;yes;15;85;42;2 am;Sunshine;Good food
4-5-2022 12:16:27;Computational Science;no;0;mu;ja;female;neither;02-06-1996;0;no;70;75;53;11:00 PM;insightful things;not thinking about tomorrow 
4-5-2022 12:16:28;Artificial Intelligence;no;0;mu;ja;male;neither;15-6-1998;0;no;66;5;487;3:00;A good sleep;Staying with my best friends
4-5-2022 12:16:29;EOR;no;0;mu;ja;male;neither;18-08-1999;5;no;10;2.5;8;1:30 AM;Friends;Drinks
4-5-2022 12:16:29;MSc Artificial Intelligence;yes;0;mu;nee;female;fat;12.05.2001;0;unknown;87;i don't understand;42;1:45;breakfast;going outside
4-5-2022 12:16:29;Computer science ;no;0;mu;ja;male;I have no idea what you are talking about;10-11-97;1;no;50;100;11;9;Time with family and friends ;Good news 
4-5-2022 12:16:35;Econometrics and Operations Research;no;1;mu;ja;male;I have no idea what you are talking about;Somewhere in May;0;no;45.8;100;47895734;23;Food;Food
4-5-2022 12:16:35;Master Artificial intelligence;no;0;mu;ja;female;neither;29-11;5;no;10;15;2;23:00;Sunny;Meet friends
4-5-2022 12:16:35;VU Master of AI;no;0;mu;nee;male;neither;14 Feb 1982;2;no;70;75;666;11:50pm;Good sleep, good sport;Good study
4-5-2022 12:16:39;AI;no;0;sigma;nee;not willing to answer;I have no idea what you are talking about;03-02-2000;0;no;100;I don't understand the question;893;00:15;do my thing and gym;lover's kiss
4-5-2022 12:16:49;MSc Computer Science;no;0;sigma;nee;female;I have no idea what you are talking about;11/06/1997;2;no;70;100;11;00:00;A warm sunny day with no stress;I answered it already
4-5-2022 12:16:50;Economics;yes;0;mu;nee;not willing to answer;fat;32-12;8;no;101;99;99;3;good;no school
4-5-2022 12:16:50;MPA;unknown;1;mu;ja;male;I have no idea what you are talking about;3-3-2000;1;yes;50;50;7;00:30 o'clock;sunshine;drinks
4-5-2022 12:16:52;Business Analytics;yes;1;sigma;ja;male;slim;16-7-2022;0;no;0;100;30;0:30;Enough time for relaxing;Being productive
4-5-2022 12:16:54;Quantitative Risk Management;no;0;mu;nee;male;I have no idea what you are talking about;29th of April 2001;Quattro;no;Fifty;Sixty at least;548293748291457322680525896237;11pm;A nice calming Data Mining lecture;A cool glass of water
4-5-2022 12:16:57;Computational Science;no;0;mu;nee;male;neither;19/01;0;no;2;50;235236236;12:44;food;sleep
4-5-2022 12:16:59;Computational Science;no;0;mu;nee;not willing to answer;slim;1.2.2003;2;unknown;50;0.4€;222.223;3;Lemons;Lemonade
4-5-2022 12:17:03;Computational Science(CLS);no;0;mu;nee;male;neither;11/01/1996;0;yes;50;100;8;13:30;Good sleep;Something to achieve in the day
4-5-2022 12:17:10;Computational Science;no;0;mu;nee;male;fat;7 february;1;no;65;100/n (n=number of Data-Mining students);50;1:00;having fun;a nice meal
4-5-2022 12:17:11;BA;yes;0;mu;nee;male;neither;16-10-1990;2;no;10;0;7;00:30;Silence;Warm weather
4-5-2022 12:17:19;AI;yes;0;mu;nee;male;neither;6/9;0;no;30;20;73;2350;Clear skies;Chill music
4-5-2022 12:18:02;BA;yes;1;mu;ja;male;I have no idea what you are talking about;29/04/1998;0;no;0;98;626;02h00;Ether in the green;Coffee
4-5-2022 12:18:28;Computer Science ;no;0;mu;ja;male;fat;28/03;1;no;38;30;42;2300;Come up with a good question;Find a solution to the good question
4-5-2022 12:19:12;Computer Science;yes;0;sigma;ja;male;neither;9th April 1999;1;no;50;100;69420;2 am;A good gym session;Good food
4-5-2022 12:19:23;Data mining;yes;1;mu;ja;female;fat;16-02-1998;0;no;1;10;37;2;Good weather;Bad weather
4-5-2022 12:19:33;Computational Science;no;0;mu;ja;male;neither;23.05.1998;4;no;80;101;29;2am;have enough sleep;make progress in anything
4-5-2022 12:19:43;Artificial intelligence;unknown;0;mu;ja;female;fat;20-09-1995;zero;no;private matters;I will pretend to be a communist, 100/600;9;6 hours, plenty;happiness comes from within, but mental stimulation is always appreciated;be healthy, having a growth mindset, mental stimulation (dopamine), exercise (endorphins), hugs (oxytocin), sunlight (serotine)
4-5-2022 12:20:41;Masters in Artificial intelligence ;yes;1;mu;ja;male;neither;17/06/98;1;no;42;50;8;-;Quality time spent;Being more productive 
4-5-2022 12:20:49;Computational science ;no;0;sigma;nee;male;slim;29/07/1998;1;unknown;10;100;6969;11:30;Sex;Sex
4-5-2022 12:20:58;BISB;yes;0;mu;nee;male;fat;04-01-1997;0;no;60;1000;56;00:00;Sunny weather;No obligations
4-5-2022 12:21:03;Biomedical science;no;0;sigma;nee;female;slim;not willing to tell;4;no;20;200;375;11.20;Sunshi;Sunshine
4-5-2022 12:21:16;CS;yes;unknown;sigma;ja;male;fat;1996-08-22;1;no;60;More than the even share;420;1am;Coffee in the morning;Hanging out with friends
4-5-2022 12:24:33;Masters in Artificial Intelligence;yes;1;mu;ja;male;I have no idea what you are talking about;23rd January;0;unknown;0;100;007;what?;no idea;still no idea
4-5-2022 12:28:09;Bioinformatics;no;0;mu;nee;male;fat;11/03;0;no;62;100;-34,67;1:30AM;Getting work done ;Doing sports (climbing)
4-5-2022 12:33:59;Masters Bioinformatics ;yes;0;unknown;nee;male;neither;June;0;no;40;0;9;1:00;Highly productive ;Time with friends 
4-5-2022 12:34:30;Artificial Intelligence;no;0;mu;ja;female;neither;13;0;no;50;100;75;2.30;Sunshine;Nice food
4-5-2022 12:35:31;Ai;yes;1;unknown;nee;not willing to answer;fat;1/1/1956;2;no;30;99;6;5;Yes;No
4-5-2022 12:37:05;E;yes;1;mu;ja;male;slim;9;9;yes;9;5;0;9;9;9
4-5-2022 12:41:59;MSc Computational Science;no;0;mu;nee;male;I have no idea what you are talking about;17/07/1995;0;no;666;1;123;555;Good food;Sleep more than 6 hours 
4-5-2022 12:54:39;Artificial Intelligence;yes;0;mu;nee;not willing to answer;neither;17;0;yes;70;87;7;0;nice weather;good mood
4-5-2022 13:27:19;Business Analytics;yes;1;mu;ja;male;neither;12/05/1998;0;no;66;0;789458455584851844184;04:00 AM;-;-
